transcript	logFC	AveExpr	t	P.Value	adj.P.Val	B	DomainType	Coverage_max	Subfamily_hits	Domains
HERVH-int_00730	-2.4402471711361153	11.778034283360817	-5.983573881545819	1.8526174585877463e-4	8.400418094665048e-4	0.6771871239170277	AP | INT | RT	0.941	HERVH	AP:0.94 | RT:0.34 | INT:0.15
ERVL-E-int_06218	2.203664927974397	6.489535448428772	5.920813695653915	2.0050364404059504e-4	8.975272715164274e-4	1.0278038506568468	NA	NA	NA	NA
Harlequin-int_00027	3.098115435180667	5.819760509343652	5.919009275985385	2.0096149345401486e-4	8.975272715164274e-4	1.0476776508911465	ENV | GAG	0.176	Harlequin	ENV:0.18 | GAG:0.12
HERVIP10B3-int_00084	1.9768844622484691	7.478975491590775	5.907724826661145	2.0385060426743833e-4	9.036362607078982e-4	0.9162587266008613	ENV	0.244	HERVIP10B3	ENV:0.24
HERVFH21-int_00083	-4.111360403421435	6.314380483548472	-5.879489561324219	2.1127862895168378e-4	9.296259673874087e-4	0.9739337728904598	NA	NA	NA	NA
HERV-Fc2-int_00004	2.541948435277724	6.722506809495195	5.8202508745701715	2.2783356531885533e-4	9.950966014661768e-4	0.8873923441395082	GAG	0.195	HERV-Fc2	GAG:0.20
MER57A-int_00622	2.4006217183609837	6.462081082603378	5.735083900692598	2.5414442367570014e-4	0.0011019108588566852	0.7884046153787967	NA	NA	NA	NA
HUERS-P3-int_00279	3.4013840582659998	5.5660922360780525	5.725293038118017	2.5737383976475196e-4	0.0011078265276830627	0.8002991655311815	NA	NA	NA	NA
MER21-int_00661	-2.442688137000407	5.738004135845679	-5.672514977691631	2.755644267987913e-4	0.0011775918670394391	0.732345441239568	NA	NA	NA	NA
HERVH-int_01160	-1.2431405975170355	11.190742575426892	-5.597200557922628	3.0397224932897094e-4	0.0012819802417870748	0.1578066093750481	AP | ENV | GAG | INT | RNaseH | RT	0.643	HERVH	RNaseH:0.64 | AP:0.62 | INT:0.38 | RT:0.29 | GAG:0.13 | ENV:0.13
HERVK3-int_00063	1.6967872522160032	8.755634758949693	5.596355456546046	3.0430844123228545e-4	0.0012819802417870748	0.3252131877285427	AP | DUT | GAG | RNaseH | RT	0.881	HERVK3	GAG:0.88 | AP:0.81 | DUT:0.59 | RT:0.53 | RNaseH:0.40
HERVI-int_00025	2.1356109156536514	7.324420725129274	5.5596861135116304	3.1929011819315265e-4	0.0013356220437093851	0.48660278136584534	NA	NA	NA	NA
HERVE_a-int_00123	-3.3346387076451127	5.974441195087712	-5.406672263380803	3.9098103355961417e-4	0.0016206934473612777	0.36279490700780226	NA	NA	NA	NA
HERVIP10FH-int_00095	1.2957262943098191	10.128499014656994	5.403012959042621	3.9289538117849153e-4	0.0016206934473612777	-0.08462262409125376	NA	NA	NA	NA
HERVL74-int_00065	1.4294593986379367	9.858499806643692	5.349828590113057	4.218902100187262e-4	0.0017282950672491265	-0.13624566868439025	NA	NA	NA	NA
HERVH-int_00836	-4.697513510742071	5.2894071695887135	-5.333554789691133	4.3121715960523085e-4	0.0017544040603116925	0.2637869876314971	GAG | RT	0.13	HERVH	RT:0.13 | GAG:0.13
HERVH-int_00434	-1.68500213915411	7.784890644028546	-5.318553353642281	4.400120270670109e-4	0.0017780077828422071	0.07425397236672637	GAG | INT | RT	0.433	HERVH	RT:0.43 | INT:0.19 | GAG:0.13
HERV4_I-int_00098	2.1911327557631712	6.4795152830225105	5.2523033612846355	4.812316928769843e-4	0.001931429902492761	0.13630684587766861	INT	0.101	HERV4_I	INT:0.10
LTR46-int_00043	1.3542603889646811	11.034360092003222	5.225207694546533	4.992727431471094e-4	0.001990389325029416	-0.36841057239233077	ENV | GAG | INT | RNaseH | RT	0.321	LTR46	RNaseH:0.32 | RT:0.31 | INT:0.15 | GAG:0.10 | ENV:0.07
HERVH-int_00022	-4.085979850641165	7.949975743090844	-5.1974061220146135	5.185434608231617e-4	0.0020534321048597203	-0.005554472222473628	AP | GAG | INT | RT	0.399	HERVH	RT:0.40 | AP:0.34 | INT:0.20 | GAG:0.14
MER4-int_00822	-3.2058375888657897	7.640710173840115	-5.102352267346216	5.907195996596196e-4	0.00230916936276937	-0.13343482500190884	NA	NA	NA	NA
HERVH-int_01321	-3.506818984049831	5.120693552655845	-5.0987294553262235	5.936761168068471e-4	0.00230916936276937	-0.041626422947318886	AP | GAG | INT | RT	0.985	HERVH	AP:0.98 | INT:0.38 | RT:0.34 | GAG:0.14
ERVL-E-int_02628	2.555540389271208	5.891565817993207	5.0973743923544665	5.947860479860498e-4	0.00230916936276937	-0.048344575687927716	NA	NA	NA	NA
HERVE-int_00016	1.8074181084719367	7.724515050839621	5.068614382646512	6.188775001424049e-4	0.0023870989291207047	-0.289763987316503	AP | ENV | GAG | INT | RNaseH | RT	1	HERVE	AP:1.00 | RT:0.75 | RNaseH:0.62 | ENV:0.62 | INT:0.41 | GAG:0.27
HUERS-P3-int_00044	1.2103550340300113	10.00764950518778	5.061239359971595	6.252229789411792e-4	0.002396015803168132	-0.5697265576900987	GAG | INT | RNaseH | RT	0.588	HUERS-P3	RT:0.59 | RNaseH:0.41 | INT:0.16 | GAG:0.10
HERVH-int_00546	-1.6887303970661764	7.60653570388119	-5.0547249358787365	6.308862001972569e-4	0.0024022205315203243	-0.26333089688481426	AP | RT	0.838	HERVH	AP:0.84 | RT:0.28
HERVH-int_00609	-3.1962143474877305	9.551378575023238	-5.010056508748758	6.712350514763986e-4	0.002539577201127266	-0.5132896474827291	AP | GAG | INT | RT	0.985	HERVH	AP:0.98 | RT:0.25 | INT:0.20 | GAG:0.14
HERVH-int_00016	-1.3153675026326002	10.731277410310309	-4.969644495807671	7.101341332678077e-4	0.0026620865042526116	-0.7268605332311786	AP | GAG | INT | RT	0.794	HERVH	AP:0.79 | INT:0.40 | RT:0.34 | GAG:0.10
HERVH-int_00299	-2.510123499504846	7.006127271776161	-4.967184752575053	7.125787107342849e-4	0.0026620865042526116	-0.29454871018952655	AP | GAG | INT | RT	0.809	HERVH	AP:0.81 | RT:0.43 | INT:0.20 | GAG:0.13
MER57-int_00453	2.565305418769632	6.285864581966793	4.914246421636568	7.674416438115906e-4	0.0028491271026505303	-0.3287759038273368	NA	NA	NA	NA
HERVK14C-int_00032	1.9610769798581345	6.942885606779423	4.872490095746179	8.139129662965838e-4	0.0030028838632308744	-0.43212591261921496	ENV	0.169	HERVK14C	ENV:0.17
ERVL-E-int_03844	1.5583140775680289	7.874572546122958	4.830676714632952	8.634861520161896e-4	0.0031661158907260283	-0.6674469272003041	NA	NA	NA	NA
MER4-int_00350	-1.250045387286065	9.428672732858573	-4.82465657767851	8.708861411841111e-4	0.003173658698548233	-0.8505241114664486	NA	NA	NA	NA
HERVK22-int_00045	1.124172881925611	9.69756294097308	4.782803171689901	9.242500186927748e-4	0.003347588482338465	-0.9575568533740215	NA	NA	NA	NA
ERVL-E-int_04102	1.671908240458858	7.2406888941516065	4.772130670062278	9.384112656368946e-4	0.003378280556292821	-0.6364581032854719	NA	NA	NA	NA
HERVH-int_00152	1.43383633275728	8.831442731794068	4.721552912243517	0.0010087566646041204	0.003609647342017154	-0.9479913585687418	NA	NA	NA	NA
HERVIP10B3-int_00106	1.9401234117259107	7.626200783790422	4.702777706478384	0.0010362893852884053	0.0036859634422833094	-0.8004817364677859	ENV	0.388	HERVIP10B3	ENV:0.39
LTR25-int_00148	2.15234038362047	5.879336953604837	4.659729563472176	0.0011024998374549952	0.0038981244252873043	-0.66623396863225	NA	NA	NA	NA
HERVK22-int_00044	0.950436306775675	11.429328969929939	4.630413367258787	0.0011501719213443185	0.0040426161022397945	-1.2557665785631933	ENV | INT | ORFX | RNaseH | RT	0.662	HERVK22	RNaseH:0.66 | INT:0.50 | RT:0.47 | ENV:0.28 | ORFX:0.21
HERVFH21-int_00020	1.3090750147379864	9.805975304435655	4.6214003205519205	0.0011652677453652643	0.004071582592629217	-1.2076082396674863	AP | ENV | GAG | RNaseH | RT	1	HERVFH21	AP:1.00 | RT:0.69 | RNaseH:0.59 | ENV:0.25 | GAG:0.05
HERVH-int_00586	-2.1312294689968785	8.378203898078985	-4.612210234552609	0.001180878421378734	0.00410199872689455	-1.0376156474021583	AP | INT | RNaseH | RT	0.809	HERVH	AP:0.81 | RNaseH:0.51 | INT:0.49 | RT:0.34
HERVK-int_00019	1.5169022869170685	7.85248977944074	4.606221285350083	0.001191171724917071	0.004113697701167094	-1.0007000711226182	INT	0.368	HERVK	INT:0.37
MER4-int_00501	-4.336224339143728	6.087618962110458	-4.5595581950698625	0.0012747333762402192	0.004376830205125378	-0.8584990600160225	NA	NA	NA	NA
MER57A-int_00739	-1.2664628968556673	12.488546671556144	-4.53518873244083	0.001320842843983708	0.004509084191530589	-1.4099924164526998	NA	NA	NA	NA
HERVH-int_00290	-2.4810514327885165	7.257898658036417	-4.5073698061275245	0.001375665426180955	0.0046551318803216375	-0.9847802447909846	AP | GAG | RT	0.971	HERVH	AP:0.97 | RT:0.36 | GAG:0.12
HUERS-P3-int_00045	0.9593746525944483	9.614708992792426	4.505568335894787	0.0013792983349101148	0.0046551318803216375	-1.3741991065544452	ENV	0.132	HUERS-P3	ENV:0.13
ERV3-16A3_I-int_00980	2.303600791197916	6.434034801164678	4.501682962285739	0.0013871686209258505	0.004655243846496922	-0.942528429365157	NA	NA	NA	NA
HERVL18-int_00132	1.6790572364159868	9.307261838514972	4.474521537456411	0.0014435437404936358	0.004795693081024945	-1.3738834551701622	INT | RT	0.311	HERVL18	RT:0.31 | INT:0.21
HERVK14-int_00113	1.554245769630482	7.953247907524503	4.473756415734735	0.0014451667702078536	0.004795693081024945	-1.2135226800640062	AP	0.778	HERVK14	AP:0.78
HERVL-int_00437	3.332667405196917	5.935073460116597	4.467451297097381	0.0014586159792340633	0.004813432731472409	-0.9704116507865628	NA	NA	NA	NA
PABL_B-int_00232	3.279831745877657	6.1943500770528965	4.460417738309747	0.0014737766899151127	0.004836593114970038	-0.9896495853002527	INT | RNaseH | RT	0.761	PABL_B	RT:0.76 | RNaseH:0.55 | INT:0.40
HERVL-int_01281	1.0366676502552243	9.56869713945299	4.438500545601665	0.001522106266896336	0.0049677534205298	-1.4711068756730104	DUT | INT | RNaseH | RT	0.533	HERVL	DUT:0.53 | RT:0.34 | RNaseH:0.31 | INT:0.12
LOR1-int_00502	-1.3119267672358104	8.132266565321915	-4.398920853190801	0.0016137161143905544	0.005237963781136554	-1.3463693641515757	NA	NA	NA	NA
HERVH-int_00396	-1.2770173593295886	8.366017366380197	-4.379785450918069	0.00166009715621379	0.005359226689081474	-1.4021753310853855	GAG | INT | RT	0.483	HERVH	RT:0.48 | INT:0.20 | GAG:0.12
MER4-int_00502	-4.602680135331879	6.203923804865561	-4.359726338440215	0.0017102451195448373	0.005491273518970992	-1.1643517761442794	NA	NA	NA	NA
HERVH-int_00035	-2.048153139569449	8.16466015707715	-4.340866904792823	0.0017588669273175708	0.005588185185439136	-1.423774572181407	AP | GAG | INT | RT	0.824	HERVH	AP:0.82 | RT:0.34 | INT:0.20 | GAG:0.12
HERVH-int_00684	-1.549784571679043	8.532882178365341	-4.340723020714335	0.0017592434843049132	0.005588185185439136	-1.479172247161534	AP | GAG | INT | RT	0.838	HERVH	AP:0.84 | RT:0.37 | INT:0.20 | GAG:0.10
HERVK14-int_00112	1.402321110460834	7.620601961972241	4.332447042032345	0.0017810475011346264	0.005627352211031745	-1.3876967999729963	DUT | GAG	0.412	HERVK14	GAG:0.41 | DUT:0.31
MER70-int_00088	1.1024761744771747	9.360722932480325	4.317542586059893	0.0018210436514046087	0.005712949315501371	-1.6350592639197945	NA	NA	NA	NA
HERVH-int_00042	-1.534699084089786	10.91157389434536	-4.31521542926298	0.0018273743601772063	0.005712949315501371	-1.7267742142538403	AP | GAG | INT | RT	0.794	HERVH	AP:0.79 | RT:0.30 | INT:0.19 | GAG:0.12
HERVH-int_00098	-2.876734805107392	5.701981897368218	-4.3017918985926045	0.0018643512354086342	0.005798034732108527	-1.2152294789434208	NA	NA	NA	NA
HERV-Fc2-int_00038	-2.855959966046924	6.209504330046741	-4.284230613524326	0.0019139321305968345	0.005921227529033957	-1.2576966598863422	AP | ENV | GAG | INT | RNaseH | RT	0.912	HERV-Fc2	RT:0.91 | RNaseH:0.61 | ENV:0.50 | AP:0.41 | INT:0.34 | GAG:0.13
LTR46-int_00042	0.9988699944656694	11.357745379724381	4.269067281217862	0.001957871265504129	0.006025779957043796	-1.8157981344568004	ENV	0.418	LTR46	ENV:0.42
HERVK22-int_00079	-1.5923456863271	7.2348210018011905	-4.2629940010607035	0.001975769626228227	0.006049521432884364	-1.3754848299475064	GAG	0.184	HERVK22	GAG:0.18
HERVL-int_01135	1.6867377792776705	10.241043728534077	4.256536373956857	0.0019949916178044263	0.006077051389619637	-1.7957394181582815	DUT | INT | RT	0.299	HERVL	DUT:0.30 | RT:0.20 | INT:0.17
ERVL-B4-int_00919	0.9363512116482524	10.796597091341694	4.248477543692366	0.0020192590214688686	0.0061195911160842244	-1.8442206367129597	NA	NA	NA	NA
ERVL-B4-int_00734	0.9364332455597087	9.897009738099428	4.233583546907112	0.0020649384587931446	0.006226261139711309	-1.825118778927406	NA	NA	NA	NA
HERVK-int_00038	-1.2483994681887658	7.73064856212299	-4.210111281754524	0.0021391694911716695	0.006417508473515009	-1.5839590456759032	ENV | INT | RT	0.752	HERVK	RT:0.75 | ENV:0.65 | INT:0.33
ERV3-16A3_I-int_01747	1.5319673443993849	6.959209216601491	4.17668615383499	0.002249805854969148	0.006715500893727005	-1.4913590036647593	NA	NA	NA	NA
MER101-int_00472	1.0214945919269445	8.770774454506244	4.15868959069602	0.0023118750640530863	0.00685050761877497	-1.8113621999006666	NA	NA	NA	NA
HERVIP10B3-int_00079	1.2463010019804626	7.968556263812527	4.154909837979021	0.0023251406255289206	0.00685050761877497	-1.7112902349212513	NA	NA	NA	NA
HERVL74-int_00066	1.2767266301152247	8.361163593874029	4.153634753817015	0.002329633904027852	0.00685050761877497	-1.761786062928385	NA	NA	NA	NA
HERV30-int_00002	1.6090324280122228	11.07528123144192	4.11415278958197	0.0024734227136307043	0.007237502915746988	-2.0550782269903234	ENV | GAG | RT	0.349	HERV30	RT:0.35 | ENV:0.22 | GAG:0.22
MER34B-int_00625	-1.2652164539288002	7.925008619222411	-4.104884808139727	0.0025085207134654002	0.007304222077443371	-1.7801944535421992	NA	NA	NA	NA
PRIMA4-int_00023	1.0416608453172482	8.723145405561686	4.063686667944658	0.002671048699340338	0.007739526475161759	-1.9554215591298956	ENV | RNaseH | RT	0.48	PRIMA4	RNaseH:0.48 | RT:0.32 | ENV:0.11
Harlequin-int_00154	-1.2931489534100888	10.533469791477112	-4.055792463151388	0.0027034454518036067	0.007795371836754089	-2.1261579546436717	ENV | GAG	0.374	Harlequin	ENV:0.37 | GAG:0.11
HERVH-int_01253	-1.3212153395281352	7.470807467958706	-3.9756330237788946	0.003056976941443467	0.008772194701533426	-1.8927031562184915	AP | GAG | INT | RT	0.838	HERVH	AP:0.84 | RT:0.34 | INT:0.20 | GAG:0.13
HERVH-int_00248	-1.603940498842173	8.51783226616218	-3.9621618279282314	0.0031210384533559526	0.00891296558314152	-2.0734021894562167	AP | INT | RT	0.941	HERVH	AP:0.94 | RT:0.51 | INT:0.15
LTR25-int_00188	2.217305711291543	7.224326966955667	3.9557509050666217	0.0031520219861325923	0.008958378276376841	-1.8538758316307735	NA	NA	NA	NA
MER4-int_00629	1.0317368181506064	9.295835309390782	3.9149643945445756	0.0033569049281846623	0.009466717477333426	-2.267404739144556	NA	NA	NA	NA
HERV3-int_00053	1.1397098256194558	9.244027257613391	3.9138384408490037	0.0033627565449787086	0.009466717477333426	-2.261266786391074	NA	NA	NA	NA
HERV9N-int_00053	-0.8403438095374457	14.64192321255458	-3.8958938845486566	0.0034574821065422416	0.009687473449462695	-2.441768632849053	AP | GAG | RNaseH	0.886	HERV9N	RNaseH:0.89 | AP:0.41 | GAG:0.18
HERVL18-int_00089	-1.0873924256575154	9.30515828272384	-3.890908202171652	0.0034842973254924476	0.00971677282320429	-2.2945970339586967	INT | RT	0.356	HERVL18	INT:0.36 | RT:0.10
THE1-int_00108	-1.2653209474942329	10.385281316053067	-3.8869538156243153	0.0035057217667458836	0.009730835184332032	-2.39070111270063	NA	NA	NA	NA
HERV9NC-int_00004	-1.3921507832719442	7.274430545183755	-3.88362318646182	0.003523874564939353	0.009735727867785933	-1.9891666863558388	AP | ENV | GAG	0.956	HERV9NC	AP:0.96 | GAG:0.26 | ENV:0.17
HERVK9-int_00202	-0.9254045093889486	9.210566191467803	-3.8500022876655757	0.0037127669991302873	0.01021010924760829	-2.3537282891234694	AP | DUT | ENV | GAG | INT | RNaseH | RT	0.985	HERVK9	DUT:0.98 | RNaseH:0.96 | RT:0.73 | AP:0.52 | GAG:0.46 | INT:0.24 | ENV:0.06
HERV9NC-int_00041	-1.5774085861157459	7.514662959149584	-3.8243704711613953	0.003863931069677554	0.010566965086258642	-2.1233981281618037	AP | ENV | GAG | RNaseH | RT	0.956	HERV9NC	AP:0.96 | RNaseH:0.63 | RT:0.48 | ENV:0.47 | GAG:0.06
HERVIP10FH-int_00326	-1.089282736124963	8.688421485282786	-3.8220203533462453	0.003878111765663946	0.010566965086258642	-2.330971703243458	ENV | INT | RNaseH	0.429	HERVIP10FH	RNaseH:0.43 | ENV:0.35 | INT:0.18
Harlequin-int_00160	0.8066412654718494	10.585030739349541	3.755054425103396	0.004306093517231925	0.01167954132071125	-2.632888371489667	ENV | GAG	0.243	Harlequin	ENV:0.24 | GAG:0.10
LTR53-int_00245	1.3843625943618125	7.121363417697355	3.748390352803118	0.004351322388769747	0.011748570449678317	-2.210397822732304	NA	NA	NA	NA
HERVK3-int_00062	1.3253866769414486	9.198639348057965	3.7320157541719365	0.004464590501669725	0.011999849583673379	-2.5477932143268145	ENV | INT | RNaseH | RT	0.688	HERVK3	INT:0.69 | ENV:0.33 | RNaseH:0.23 | RT:0.13
HERVL-int_00298	1.6041455825686697	6.709214743327399	3.717556557530465	0.004567185711450141	0.012201747543673928	-2.18005623020985	DUT | INT | RT	0.351	HERVL	DUT:0.35 | INT:0.21 | RT:0.16
HERVH-int_00887	-1.769245661669318	6.54925541908454	-3.7156648052656633	0.004580790744510582	0.012201747543673928	-2.167901378249714	INT | RT	0.34	HERVH	RT:0.34 | INT:0.20
HERVK13-int_00026	0.8778435140978392	13.052234580654563	3.687132282619958	0.00479123289097474	0.012705322934102658	-2.767086208443449	NA	NA	NA	NA
Harlequin-int_00167	0.8103946801911366	11.056311879389499	3.6760561189773817	0.004875638403236822	0.01287168538454521	-2.7688066475949	ENV | GAG	0.332	Harlequin	ENV:0.33 | GAG:0.10
ERVL40-int_00155	0.9842314530558443	8.912301851286697	3.669513945437946	0.004926224495978799	0.01293544574039525	-2.6166210472484996	NA	NA	NA	NA
HERVL-int_01459	1.0369852741052512	10.985537373021451	3.667315906477745	0.0049433437425416196	0.01293544574039525	-2.7810727667360533	NA	NA	NA	NA
HERV17-int_00017	-1.7155140451132984	7.6221313281110605	-3.661549959459552	0.004988548592945844	0.012996481860569436	-2.4032328883963165	NA	NA	NA	NA
MER50-int_00319	1.4130930848741365	6.782749831431444	3.650202158769884	0.005078786007393837	0.013173794272453883	-2.30312391037351	NA	NA	NA	NA
HERVL18-int_00080	3.345611054176244	8.958747255374366	3.6353611968330974	0.005199391372030674	0.013427993369505306	-2.6190875580597233	INT | RT	0.377	HERVL18	RT:0.38 | INT:0.17
HERVH-int_01387	-1.0139371295241864	9.262818929147677	-3.610486503676009	0.005408314892427742	0.013907095437671338	-2.7478424538697164	AP | INT | RT	0.441	HERVH	AP:0.44 | RT:0.40 | INT:0.19
HERVH-int_00893	-2.241665962962991	7.640296627336085	-3.5897108364105486	0.005589546485828971	0.014257323524668708	-2.4798142015532596	AP | GAG | INT | RT	0.985	HERVH	AP:0.98 | RT:0.40 | INT:0.21 | GAG:0.12
HERVL66-int_00038	1.4733182133293155	6.614616143012178	3.5893759685943474	0.005592519160349847	0.014257323524668708	-2.3779418633324676	ENV	0.082	HERVL66	ENV:0.08
HERVK9-int_00029	1.820525946149859	6.6763847776775584	3.5854761758559928	0.005627260348086045	0.014284583960526112	-2.386131748315961	AP | DUT | ENV | INT | RNaseH | RT	0.956	HERVK9	RNaseH:0.96 | AP:0.90 | DUT:0.42 | RT:0.38 | INT:0.26 | ENV:0.25
HERVE_a-int_00018	-0.8134841085352232	11.266203316693105	-3.580588646385775	0.005671119985443915	0.01433466072916462	-2.9256242444020835	ENV	0.215	HERVE_a	ENV:0.21
HERVH-int_00946	-1.804014172048726	6.482285904030508	-3.5778152586542378	0.005696166735095391	0.014336962036638399	-2.3841380873314213	AP | GAG | RT	0.794	HERVH	AP:0.79 | RT:0.34 | GAG:0.06
HERVK3-int_00083	1.0082608403680986	9.647791532567915	3.561582453756143	0.005845106869223044	0.014649761520331175	-2.8837992321395074	ENV	0.453	HERVK3	ENV:0.45
MER57-int_00379	-1.4120241511972655	7.248338021813382	-3.5324753356081016	0.0061224605676085874	0.015280426794787819	-2.547856211511167	NA	NA	NA	NA
MER4-int_00351	-0.9714325513631966	8.61722926422149	-3.527283143136884	0.0061733643733205305	0.015343006015700399	-2.8032296476815874	NA	NA	NA	NA
MER61-int_00032	-0.7785832325949925	10.982082382366709	-3.523999873063614	0.006205781343354729	0.015359308824802954	-3.014350664802194	NA	NA	NA	NA
HERVK-int_00139	-1.1048907335856293	8.987055344730619	-3.518868321049274	0.00625680377045979	0.015373381577349994	-2.8642172847648872	NA	NA	NA	NA
HERVK9-int_00154	1.259654977111048	7.951001944563389	3.5182251550924	0.006263229531512961	0.015373381577349994	-2.732573724413271	ENV | INT | RNaseH | RT	0.648	HERVK9	INT:0.65 | RNaseH:0.57 | RT:0.54 | ENV:0.44
HERVK-int_00015	0.9897847415766563	8.846006078440574	3.476617631704475	0.006693919873993344	0.016355282009931315	-2.9240463550736067	ENV	0.186	HERVK	ENV:0.19
HERVIP10FH-int_00250	-2.381255066034276	7.063643897711276	-3.474343672074505	0.006718331330678857	0.016355282009931315	-2.5933759289532663	ENV	0.215	HERVIP10FH	ENV:0.21
ERVL-E-int_00068	-1.8527795398217803	6.102273865456321	-3.4399524172118006	0.007099064667128554	0.017211609846017804	-2.5785065519666617	NA	NA	NA	NA
MER21-int_00199	1.187770804407594	8.101408382453688	3.4293257929069236	0.007221204254386434	0.01743656637034773	-2.89710880933882	NA	NA	NA	NA
HERVIP10B3-int_00081	0.9425670855615541	10.062182641351257	3.41454057747407	0.007394794629533534	0.01762700307276564	-3.165843433543407	ENV | INT | RNaseH | RT	0.571	HERVIP10B3	RNaseH:0.57 | RT:0.40 | ENV:0.36 | INT:0.29
HERVIP10F-int_00098	1.701422541473077	6.526620880236367	3.413119254423813	0.007411709515296991	0.01762700307276564	-2.654375293322934	AP | ENV | GAG | INT | RNaseH | RT	0.571	HERVIP10F	RNaseH:0.57 | RT:0.51 | INT:0.44 | AP:0.31 | ENV:0.26 | GAG:0.05
Harlequin-int_00134	-0.6992341835720869	12.360013427936776	-3.412528804113647	0.007418748187385892	0.01762700307276564	-3.21097716527086	ENV | GAG	0.262	Harlequin	ENV:0.26 | GAG:0.10
MER4-int_00631	0.9357725239298504	9.434425048883433	3.4125267792867695	0.007418772337022575	0.01762700307276564	-3.1071763487486495	NA	NA	NA	NA
MER4-int_00349	-0.8625420595315362	11.770180031266575	-3.399526461929624	0.00757552388712807	0.01792773382053416	-3.2289657229957394	NA	NA	NA	NA
HERVK9-int_00236	0.9347252455493439	9.162717488110344	3.3610406747937835	0.008060088378458029	0.018998779749222497	-3.158155502027059	NA	NA	NA	NA
LTR57-int_00230	-1.5164160150148152	6.328724221882981	-3.3532651987183524	0.00816184031462904	0.019162581608259486	-2.737018689847148	NA	NA	NA	NA
MER51-int_00285	0.9006089713156368	8.893508630858545	3.3412273520294744	0.008322011352297914	0.019461711587657325	-3.1547153832510144	NA	NA	NA	NA
MER57-int_00785	1.259389636253319	6.686231167709993	3.3310209129778214	0.00846037121200684	0.019696399902444678	-2.810325667575792	NA	NA	NA	NA
HERVE-int_00020	1.3021306773197587	6.616882033366346	3.328953715027596	0.00848868413304013	0.019696399902444678	-2.8025922574397018	AP | ENV | GAG | INT | RNaseH | RT	1	HERVE	AP:1.00 | RNaseH:0.48 | ENV:0.40 | RT:0.37 | GAG:0.27 | INT:0.23
HERV16-int_02155	0.9790004560313382	7.950502821374585	3.324849042326385	0.008545194848937758	0.01975037253022968	-3.0515522352328515	NA	NA	NA	NA
ERV3-16A3_I-int_01318	1.5025920008855174	6.670668208715479	3.2946928578209222	0.008972524275737227	0.020657672169720594	-2.861709133057244	NA	NA	NA	NA
MER57A-int_00210	1.025084483839468	7.4690639110780666	3.2696568764924305	0.009344115132161839	0.021430132774147227	-3.0771979293809233	NA	NA	NA	NA
PABL_A-int_00045	-1.527726450804277	7.065044036873385	-3.2565083746651666	0.009545620535956423	0.021808071532146596	-2.9575496466070943	NA	NA	NA	NA
HERVL-int_00873	1.272766017961954	8.027807493198836	3.2332568718921713	0.009913045117935315	0.022483326318806115	-3.2112254969765957	DUT | INT	0.299	HERVL	DUT:0.30 | INT:0.21
MER66-int_00181	1.3851212188595587	6.974821475292924	3.231333257057242	0.009944090746611147	0.022483326318806115	-3.017901039875275	NA	NA	NA	NA
PABL_A-int_00320	1.0005779083027249	8.203624035434608	3.2306749274942637	0.009954738757316513	0.022483326318806115	-3.2409771121865893	NA	NA	NA	NA
HERVS71-int_00035	0.6969304260039496	13.501443812595442	3.216708036826111	0.010183444260315087	0.022912749585708946	-3.5511609183146438	GAG | INT | RNaseH	0.65	HERVS71	RNaseH:0.65 | INT:0.58 | GAG:0.18
ERVL40-int_00339	1.0307291135986965	8.28263033420658	3.212337452709598	0.010256122733535582	0.022989195863094853	-3.2818289099983438	NA	NA	NA	NA
HERVL-int_00031	1.1585980345455444	7.718907231148941	3.1966379579412614	0.010521642224740117	0.023495697298855752	-3.2339188910701018	NA	NA	NA	NA
HERVL66-int_00025	1.3348760947610185	6.527723860030451	3.1941291699241274	0.010564726198996255	0.02350354817304785	-3.0106974704565888	RT	0.134	HERVL66	RT:0.13
HERVK22-int_00017	1.2246689293475226	6.216370375994955	3.1897938415068263	0.01063960788124456	0.023581817468131597	-2.9712393958570398	INT | RNaseH | RT	0.791	HERVK22	RT:0.79 | INT:0.30 | RNaseH:0.27
MER41-int_00478	0.8773690074726619	9.491319756060141	3.1546432115257192	0.011267351075324944	0.02488032170536437	-3.5440555569575354	NA	NA	NA	NA
MER4-int_01185	0.6473439026651459	10.02159212655769	3.134711061253761	0.011640170984042162	0.025608376164892758	-3.632143303529958	NA	NA	NA	NA
HERV3-int_00086	1.2532482045056514	6.883768505018027	3.1227070039762235	0.01187081343873171	0.026019421338031867	-3.1879836074148016	GAG	0.221	HERV3	GAG:0.22
MER101-int_00129	1.4644590905121748	7.7256818869472585	3.119025758370991	0.011942483228193492	0.026080275873334315	-3.359942941013036	NA	NA	NA	NA
ERVL-B4-int_01668	-1.1073048075071512	6.8878694658203345	-3.085375358994058	0.012618635744228451	0.027380692707868956	-3.2251652007354137	NA	NA	NA	NA
HERV9NC-int_00059	-1.6000947188183792	6.392474889675225	-3.084818467844411	0.012630151181744266	0.027380692707868956	-3.1802172568449527	NA	NA	NA	NA
ERVL-E-int_03424	-1.5334478107440028	7.090524055009983	-3.0632270667192367	0.013085053330553103	0.028263715193994704	-3.2777112829737045	NA	NA	NA	NA
